// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z
17034		-1.003876	7.968251	3.697952	8.829635	1.259868	0.326396	54.220881	5.676260	37.605212			0.000000			
17035		-1.469970	8.543682	2.930972	8.602233	1.132493	0.466669	59.217584	5.802197	38.298122			0.000000			
17036		-1.377170	8.677026	1.983107	8.527814	1.027990	0.530816	64.170137	5.807504	38.965535			0.000000			
17037		-1.015137	8.917844	1.245117	8.761441	0.975037	0.619750	69.254691	5.695492	39.621898			0.000000			
17038		-0.635293	9.091896	0.116783	8.911298	0.965297	0.734460	74.423618	5.461735	40.281784			0.000000			
17039		-0.573668	9.658246	-0.844560	9.070743	0.963395	0.886297	79.679824	5.083853	40.934945			0.000000			
17040		-0.781799	10.782630	-1.652997	9.214716	0.932302	1.024921	85.009675	4.566875	41.543649			0.000000			
17041		-0.856654	12.378957	-2.067915	8.991191	0.842607	1.147434	90.198182	3.923769	42.052768			0.000000			
17042		-1.118567	14.159061	-1.733388	8.122947	0.737625	1.133006	94.875814	3.250657	42.444930			0.000000			
17043		-1.044201	15.166882	-2.010908	6.610911	0.553528	1.163092	98.674748	2.545294	42.678812			0.000000			
17044		-0.853257	15.231354	-1.850567	4.798500	0.320713	1.260244	101.425020	1.796564	42.731024			0.000000			
17045		-0.641931	13.595299	-2.036675	3.192504	0.138690	1.156700	103.251744	1.126138	42.663765			0.000000			
17046		-0.400889	11.641749	-2.103141	2.215116	0.017966	1.052159	104.517846	0.532901	42.525954			0.000000			
17047		-0.023766	9.773694	-2.517600	1.716676	-0.041211	0.953862	105.499823	0.005270	42.358043			0.000000			
17048		0.261978	8.809548	-2.972932	1.687183	-0.041983	0.845720	106.466064	-0.459364	42.198165			0.000000			
17049		0.280224	8.806394	-3.039856	1.847678	-0.006374	0.722472	107.525372	-0.859924	42.069905			0.000000			
17050		0.146756	9.115586	-3.082408	1.665259	-0.016244	0.600738	108.480539	-1.189702	41.951136			0.000000			
17051		0.168317	9.494779	-3.271728	1.414038	-0.060037	0.558541	109.293199	-1.487008	41.811034			0.000000			
17052		0.272375	10.171784	-3.182484	1.193256	-0.076810	0.451004	109.979498	-1.720806	41.679027			0.000000			
17053		0.178018	10.294099	-3.333921	0.585020	-0.088418	0.328914	110.317541	-1.885843	41.562437			0.000000			
17054		0.197057	9.603906	-3.333052	-0.025540	-0.139630	0.202671	110.305835	-1.972139	41.443302			0.000000			
17055		0.350768	9.095624	-3.342237	-0.148475	-0.136257	0.062056	110.223016	-1.983999	41.353617			0.000000			
17056		0.326518	9.200943	-3.175208	-0.087796	-0.141045	-0.096728	110.173684	-1.909256	41.293153			0.000000			
17057		0.057076	9.445255	-3.216868	-0.318599	-0.189706	-0.196988	109.992453	-1.771486	41.225716			0.000000			
17058		-0.123976	10.006604	-2.966673	-0.408502	-0.302292	-0.325658	109.760299	-1.542320	41.122537			0.000000			
17059		-0.610182	11.098226	-2.849612	-0.611352	-0.485909	-0.428523	109.413578	-1.223227	40.938480			0.000000			
17060		-0.726083	12.030022	-2.562830	-1.223511	-0.759444	-0.476880	108.717301	-0.828095	40.612803			0.000000			
17061		-0.182188	11.955906	-2.506326	-2.194936	-0.980423	-0.541116	107.463296	-0.364533	40.171214			0.000000			
17062		-0.052162	11.512212	-2.566181	-2.729717	-1.105069	-0.645541	105.899052	0.166111	39.667491			0.000000			
17063		-0.059973	12.331976	-2.690556	-2.915205	-1.196990	-0.744035	104.223232	0.750230	39.112324			0.000000			
17064		0.020631	14.200058	-2.812907	-3.536335	-1.236403	-0.878757	102.185115	1.396609	38.534523			0.000000			
17065		0.032944	15.834054	-2.864869	-4.786045	-1.214870	-1.045405	99.424169	2.109412	37.959514			0.000000			
17066		-0.200057	15.525288	-3.113717	-6.706771	-1.133121	-1.082425	95.556065	2.802946	37.393766			0.000000			
17067		-0.633204	14.123973	-3.601220	-8.231166	-1.140522	-0.999772	90.805039	3.404639	36.769743			0.000000			
17068		-0.496156	12.506436	-3.370496	-8.972368	-1.151156	-0.892145	85.619964	3.888631	36.091899			0.000000			
17069		-0.447590	11.613942	-2.783794	-9.437023	-1.130340	-0.761091	80.162582	4.234459	35.392620			0.000000			
17070		-0.723396	11.882697	-1.907055	-9.577781	-1.122911	-0.624933	74.620226	4.437002	34.684513			0.000000			
17071		-0.800812	11.953722	-1.533308	-9.989815	-1.140152	-0.551781	68.839691	4.525697	33.963684			0.000000			
17072		-0.476709	10.877640	-1.095496	-10.959434	-1.105309	-0.468292	62.505055	4.503009	33.275273			0.000000			
17073		0.537909	8.438851	0.121585	-11.735590	-0.925670	-0.411817	55.736266	4.426908	32.699999			0.000000			
17074		0.403718	4.508746	1.469670	-12.204222	-0.795410	-0.275705	48.708106	4.266781	32.244402			0.000000			
17075		-0.084047	2.253621	3.262564	-11.606540	-1.232417	-0.046309	42.021908	3.783888	31.726263			0.000000			
17076		0.683798	1.734541	4.024655	-9.929010	-0.954390	0.246540	36.317579	3.265737	31.493729			0.000000			
17077		1.444534	0.696517	3.445061	-7.002519	-0.036270	0.276953	32.312643	3.153863	31.618003			0.000000			
17078		0.828310	0.329246	5.121975	-4.042694	0.861038	0.056758	30.012101	3.554524	31.905959			0.000000			
17079		0.271377	1.515251	6.679560	-1.872809	1.451406	-0.114589	28.963661	4.305648	32.263719			0.000000			
17080		-0.589273	3.775117	9.811125	-0.978985	1.562264	-0.210006	28.428828	5.144149	32.593658			0.000000			
17081		-1.536000	7.050276	9.937004	-2.631947	0.866566	-0.322781	26.927543	5.664760	32.665467			0.000000			
17082		-2.021335	7.562901	8.490366	-5.287437	0.270339	-0.316194	23.887643	5.878201	32.572635			0.000000			
17083		-1.438114	5.773189	7.980145	-6.643394	-0.145454	-0.276043	20.063689	5.855687	32.399338			0.000000			
17084		-0.832520	4.780339	7.234836	-6.601527	-0.178270	-0.255742	16.263290	5.800787	32.232741			0.000000			
17085		-0.879490	4.879427	7.565708	-6.804865	-0.184706	-0.276271	12.347229	5.733685	32.058553			0.000000			
17086		-0.965066	3.951400	7.412520	-7.998394	-0.384974	-0.283697	7.744370	5.542146	31.864885			0.000000			
17087		-0.962599	2.490897	6.907201	-8.940409	-0.589193	-0.289128	2.604714	5.218248	31.675606			0.000000			
